Review_ID,Text_Review,Cleaned_Text,Rating,Sentiment_Label,Satisfaction_Level,Visitor_Age,Visit_Type,Travel_Purpose,Visit_Season,Eco_Activity_Count,Wildlife_Sightings,Site_Type,Eco_Rating,Guide_Quality,Cleanliness_Score,Service_Quality,Eco_Education_Level,Sustainability_Score,Crowd_Level,Noise_Level,Safety_Score,Travel_Distance_km,Expense_Level,Would_Recommend,Return_Intent,GroundTruth
34,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,41,Solo,Leisure,Spring,3,6,Forest,4.5,3,5,1,2,1,1,4,5,469,Low,No,No,Neutral-Medium
35,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,36,Group,Adventure,Summer,3,5,Forest,1.6,2,2,3,4,3,2,1,2,160,Medium,Yes,Yes,Neutral-Medium
36,The tour guide shared basic information but wasn't engaging.,the tour guide shared basic information but wasnt engaging,3,Neutral,Medium,27,Solo,Photography,Spring,10,5,Forest,4.9,2,4,2,3,5,1,4,1,293,Medium,Yes,No,Neutral-Medium
37,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,1,Negative,Low,30,Group,Relaxation,Summer,8,3,Lake,3.9,4,3,3,2,5,4,3,3,135,Medium,Yes,No,Negative-Low
38,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,1,Negative,Low,32,Family,Adventure,Winter,10,7,Lake,3.2,5,4,4,4,4,1,2,2,471,Low,No,No,Negative-Low
39,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,2,Negative,Low,45,Family,Adventure,Monsoon,7,8,Mountain,2.2,2,5,2,4,4,5,1,4,224,High,No,No,Negative-Low
40,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,56,Family,Photography,Summer,1,1,Mountain,2.3,1,2,2,5,5,3,1,2,59,Low,No,No,Positive-High
41,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,53,Group,Wildlife Study,Monsoon,5,5,Coastal,4.4,4,4,2,4,1,1,2,4,283,High,Yes,Yes,Neutral-Medium
42,"Beautiful waterfalls, clean rivers, and well-protected wildlife zones.",beautiful waterfalls clean rivers and wellprotected wildlife zones,5,Positive,High,53,Family,Adventure,Spring,6,0,Forest,4.0,3,3,2,3,2,1,5,5,436,High,No,No,Positive-High
43,The night safari was thrilling and very well organized by the staff.,the night safari was thrilling and very well organized by the staff,5,Positive,High,20,Group,Wildlife Study,Summer,10,0,Forest,4.1,5,1,1,3,1,1,5,3,66,High,Yes,Yes,Positive-High
44,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,2,Negative,Low,28,Solo,Leisure,Monsoon,6,1,Wildlife Sanctuary,4.8,2,1,5,5,3,2,2,1,114,High,No,Yes,Negative-Low
45,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,2,Negative,Low,40,Solo,Relaxation,Monsoon,8,6,Lake,1.8,3,3,4,3,2,2,1,4,178,Low,Yes,No,Negative-Low
46,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,58,Solo,Adventure,Spring,3,4,Wildlife Sanctuary,3.8,2,2,1,3,5,2,4,4,22,Low,No,No,Neutral-Medium
47,Terrible booking process with no communication.,terrible booking process with no communication,2,Negative,Low,50,Group,Adventure,Winter,1,0,Mountain,4.8,3,2,5,4,4,4,5,1,393,Low,Yes,No,Negative-Low
48,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,2,Negative,Low,41,Friends,Photography,Summer,2,0,Coastal,1.3,4,2,2,3,3,5,1,5,233,Medium,No,Yes,Negative-Low
49,Activities were minimal and suitable for short trips.,activities were minimal and suitable for short trips,3,Neutral,Medium,29,Couple,Adventure,Winter,1,7,Mountain,2.9,1,2,2,4,5,5,1,2,371,Low,No,Yes,Neutral-Medium
50,The night safari was thrilling and very well organized by the staff.,the night safari was thrilling and very well organized by the staff,5,Positive,High,42,Solo,Leisure,Summer,6,3,Lake,4.3,3,1,3,4,5,3,2,1,211,High,Yes,No,Positive-High
51,The eco-activities like tree planting and conservation talks were meaningful.,the ecoactivities like tree planting and conservation talks were meaningful,5,Positive,High,44,Group,Wildlife Study,Summer,5,7,Forest,3.0,2,2,1,3,4,5,4,5,303,Medium,No,Yes,Positive-High
52,"Beautiful waterfalls, clean rivers, and well-protected wildlife zones.",beautiful waterfalls clean rivers and wellprotected wildlife zones,4,Positive,High,42,Friends,Wildlife Study,Monsoon,7,0,Lake,3.4,5,1,4,5,1,4,2,1,462,Low,Yes,Yes,Positive-High
53,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,24,Couple,Adventure,Winter,4,6,Forest,4.0,1,3,1,1,1,1,5,5,109,High,Yes,No,Neutral-Medium
54,Food quality was moderate and service was inconsistent.,food quality was moderate and service was inconsistent,3,Neutral,Medium,50,Couple,Leisure,Winter,10,5,Wildlife Sanctuary,3.6,3,5,4,2,5,1,2,2,108,Medium,Yes,No,Neutral-Medium
55,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,5,Positive,High,50,Solo,Adventure,Spring,4,0,Mountain,2.1,5,5,1,4,1,5,1,5,239,Low,No,Yes,Positive-High
56,"Facilities were okay, but some parts could be improved.",facilities were okay but some parts could be improved,3,Neutral,Medium,47,Couple,Wildlife Study,Summer,6,1,Forest,1.1,3,4,1,1,3,1,3,4,338,High,No,Yes,Neutral-Medium
57,The eco-camp was well maintained with organic food and responsible tourism guidelines.,the ecocamp was well maintained with organic food and responsible tourism guidelines,5,Positive,High,29,Couple,Photography,Summer,9,7,Lake,1.1,4,1,2,2,5,1,1,1,304,Low,Yes,No,Positive-High
58,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,23,Family,Adventure,Winter,8,8,Wildlife Sanctuary,4.5,2,5,3,5,3,1,5,4,419,Medium,No,No,Positive-High
59,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,43,Family,Relaxation,Summer,6,3,Mountain,2.9,2,4,1,3,1,5,2,2,408,High,Yes,No,Neutral-Medium
60,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,1,Negative,Low,23,Friends,Photography,Monsoon,10,2,Mountain,1.6,5,5,2,2,4,4,5,2,179,Medium,No,No,Negative-Low
61,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,5,Positive,High,65,Solo,Leisure,Spring,3,4,Wildlife Sanctuary,1.9,5,4,5,4,3,3,1,5,174,High,Yes,No,Positive-High
62,Food quality was moderate and service was inconsistent.,food quality was moderate and service was inconsistent,3,Neutral,Medium,64,Group,Leisure,Spring,8,8,Coastal,2.1,5,5,4,1,1,5,4,2,376,High,No,Yes,Neutral-Medium
63,Loud noise ruined the natural experience.,loud noise ruined the natural experience,1,Negative,Low,48,Family,Leisure,Summer,7,1,Forest,4.0,4,5,1,2,1,4,3,5,370,Low,No,Yes,Negative-Low
64,Scenery was pleasant but transport arrangements were weak.,scenery was pleasant but transport arrangements were weak,3,Neutral,Medium,37,Solo,Photography,Spring,6,2,Forest,1.6,1,1,2,4,1,3,1,5,449,Low,No,Yes,Neutral-Medium
65,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,2,Negative,Low,54,Couple,Wildlife Study,Winter,1,3,Lake,2.5,2,4,1,1,2,5,5,2,185,High,Yes,Yes,Negative-Low
66,Transport delays and chaotic scheduling.,transport delays and chaotic scheduling,1,Negative,Low,18,Couple,Leisure,Spring,6,2,Lake,2.0,2,4,3,1,5,4,3,1,378,Low,No,Yes,Negative-Low
67,Overall a simple and routine visit.,overall a simple and routine visit,3,Neutral,Medium,38,Couple,Leisure,Monsoon,4,0,Lake,3.0,5,5,4,5,5,5,3,3,139,Medium,No,Yes,Neutral-Medium
68,The tour guide shared basic information but wasn't engaging.,the tour guide shared basic information but wasnt engaging,3,Neutral,Medium,50,Solo,Photography,Summer,4,8,Coastal,3.3,2,1,4,1,4,3,5,1,396,Low,Yes,No,Neutral-Medium
69,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,48,Family,Adventure,Spring,10,3,Forest,3.5,2,3,1,1,4,4,1,2,415,Low,No,No,Neutral-Medium
70,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,51,Couple,Wildlife Study,Winter,7,4,Mountain,2.7,4,5,5,3,1,5,3,4,290,Low,Yes,Yes,Positive-High
71,Overall a simple and routine visit.,overall a simple and routine visit,3,Neutral,Medium,57,Family,Wildlife Study,Spring,1,1,Lake,4.3,5,4,4,2,2,1,2,2,52,Medium,Yes,Yes,Neutral-Medium
72,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,41,Couple,Leisure,Winter,10,3,Lake,3.2,1,1,5,3,4,4,3,1,460,Medium,Yes,No,Neutral-Medium
73,An unforgettable learning experience about local ecology and sustainability practices.,an unforgettable learning experience about local ecology and sustainability practices,4,Positive,High,62,Group,Wildlife Study,Monsoon,5,0,Lake,1.4,4,5,1,1,4,5,1,4,459,High,No,Yes,Positive-High
74,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,5,Positive,High,63,Couple,Relaxation,Summer,6,3,Mountain,1.2,5,2,4,3,5,5,5,4,318,Medium,Yes,No,Positive-High
75,Poor service throughout the trip and the location was overcrowded.,poor service throughout the trip and the location was overcrowded,2,Negative,Low,47,Family,Wildlife Study,Summer,3,5,Coastal,4.1,2,4,3,1,1,4,4,2,362,High,Yes,No,Negative-Low
76,Good experience but it did not fully meet expectations.,good experience but it did not fully meet expectations,3,Neutral,Medium,40,Couple,Photography,Spring,5,2,Mountain,2.6,3,3,5,3,2,3,4,3,459,Medium,No,Yes,Neutral-Medium
77,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,4,Positive,High,26,Group,Relaxation,Monsoon,6,6,Forest,3.1,3,4,2,3,4,3,5,2,469,Medium,No,No,Positive-High
78,Bad food quality and slow staff response.,bad food quality and slow staff response,2,Negative,Low,30,Family,Leisure,Monsoon,3,5,Mountain,1.9,4,1,3,2,2,2,3,2,451,High,Yes,Yes,Negative-Low
79,Terrible booking process with no communication.,terrible booking process with no communication,2,Negative,Low,42,Friends,Wildlife Study,Monsoon,3,6,Coastal,3.0,4,5,4,1,2,2,1,3,330,Medium,Yes,No,Negative-Low
80,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,2,Negative,Low,33,Group,Relaxation,Spring,7,5,Wildlife Sanctuary,2.7,3,4,1,4,2,2,2,2,114,Medium,Yes,Yes,Negative-Low
81,The trip felt overpriced and disappointing.,the trip felt overpriced and disappointing,1,Negative,Low,49,Friends,Wildlife Study,Monsoon,2,2,Lake,4.0,3,1,4,5,1,1,1,3,277,Low,Yes,Yes,Negative-Low
82,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,54,Family,Leisure,Summer,10,0,Coastal,4.9,3,3,1,4,3,5,4,4,430,Medium,Yes,Yes,Neutral-Medium
83,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,4,Positive,High,36,Solo,Relaxation,Monsoon,3,5,Coastal,1.6,5,5,3,1,3,4,2,3,422,Low,Yes,Yes,Positive-High
84,Poor service throughout the trip and the location was overcrowded.,poor service throughout the trip and the location was overcrowded,1,Negative,Low,49,Solo,Leisure,Monsoon,6,5,Wildlife Sanctuary,1.8,3,5,3,5,2,2,4,4,307,High,Yes,No,Negative-Low
85,Excellent wildlife sightings; the guides were knowledgeable and passionate about conservation.,excellent wildlife sightings the guides were knowledgeable and passionate about conservation,5,Positive,High,24,Family,Relaxation,Spring,9,5,Wildlife Sanctuary,4.7,5,4,4,4,1,4,4,2,184,Medium,Yes,No,Positive-High
86,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,53,Friends,Leisure,Spring,5,3,Mountain,2.6,4,2,3,5,4,5,2,4,440,Low,Yes,Yes,Neutral-Medium
87,Loud noise ruined the natural experience.,loud noise ruined the natural experience,1,Negative,Low,60,Family,Relaxation,Winter,7,1,Lake,4.7,1,3,1,2,3,5,4,4,51,Low,Yes,Yes,Negative-Low
88,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,5,Positive,High,55,Group,Photography,Summer,8,7,Mountain,3.1,4,2,3,4,1,5,1,2,485,Medium,No,No,Positive-High
89,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,41,Group,Relaxation,Winter,4,6,Lake,4.7,3,3,2,1,5,1,4,4,451,Low,Yes,Yes,Neutral-Medium
90,Terrible booking process with no communication.,terrible booking process with no communication,1,Negative,Low,38,Solo,Leisure,Summer,9,6,Wildlife Sanctuary,1.3,4,3,4,3,1,2,2,4,72,Low,No,Yes,Negative-Low
91,Good experience but it did not fully meet expectations.,good experience but it did not fully meet expectations,3,Neutral,Medium,55,Family,Adventure,Monsoon,9,7,Mountain,2.0,1,5,5,2,2,3,4,4,29,High,Yes,No,Neutral-Medium
92,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,62,Group,Wildlife Study,Winter,3,8,Lake,4.5,2,3,4,5,4,1,3,4,426,High,Yes,No,Neutral-Medium
93,Transport delays and chaotic scheduling.,transport delays and chaotic scheduling,2,Negative,Low,42,Group,Adventure,Monsoon,4,5,Mountain,2.2,5,2,2,2,5,1,3,4,487,Medium,No,Yes,Negative-Low
94,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,4,Positive,High,58,Family,Relaxation,Winter,2,7,Lake,4.2,3,5,4,5,2,5,3,3,88,Low,Yes,Yes,Positive-High
95,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,1,Negative,Low,46,Family,Photography,Summer,2,0,Coastal,4.7,1,2,2,1,1,2,3,3,69,Medium,No,No,Negative-Low
96,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,48,Family,Wildlife Study,Summer,7,2,Forest,3.5,5,5,2,2,5,3,3,5,10,High,No,Yes,Neutral-Medium
97,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,2,Negative,Low,62,Group,Relaxation,Winter,2,6,Lake,3.1,1,5,2,5,5,3,2,2,233,Medium,No,No,Negative-Low
98,Loved the solar-powered cottages and eco-friendly activities offered on site.,loved the solarpowered cottages and ecofriendly activities offered on site,5,Positive,High,48,Family,Photography,Winter,4,8,Lake,2.2,1,3,4,5,3,2,5,3,217,High,No,Yes,Positive-High
99,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,29,Family,Relaxation,Winter,3,6,Wildlife Sanctuary,3.4,5,5,3,2,3,4,1,2,439,Medium,Yes,Yes,Neutral-Medium
100,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,2,Negative,Low,22,Couple,Wildlife Study,Winter,5,7,Mountain,1.1,2,4,2,2,4,1,3,3,139,High,Yes,No,Negative-Low
101,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,4,Positive,High,24,Family,Photography,Spring,1,1,Lake,4.0,3,1,5,3,3,2,4,2,434,Medium,No,No,Positive-High
102,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,50,Group,Relaxation,Summer,3,2,Wildlife Sanctuary,3.5,1,3,2,3,5,1,3,1,375,High,Yes,No,Neutral-Medium
103,Eco-friendly claims were false and misleading.,ecofriendly claims were false and misleading,2,Negative,Low,32,Family,Photography,Spring,9,3,Coastal,2.5,4,2,5,1,2,5,5,3,302,Medium,No,No,Negative-Low
104,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,23,Family,Adventure,Spring,9,2,Coastal,2.0,2,1,4,1,3,4,4,4,76,Low,Yes,Yes,Neutral-Medium
105,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,4,Positive,High,58,Couple,Adventure,Monsoon,2,4,Forest,4.5,2,5,5,1,1,1,2,5,77,Low,Yes,Yes,Positive-High
106,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,2,Negative,Low,29,Family,Leisure,Spring,6,3,Forest,2.7,1,1,4,5,2,1,4,4,298,High,No,Yes,Negative-Low
107,The eco-activities like tree planting and conservation talks were meaningful.,the ecoactivities like tree planting and conservation talks were meaningful,5,Positive,High,34,Family,Adventure,Monsoon,9,6,Forest,4.9,2,1,2,4,3,2,2,2,190,High,No,No,Positive-High
108,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,47,Family,Photography,Summer,1,5,Coastal,3.4,3,2,1,1,3,5,3,2,397,High,Yes,No,Positive-High
109,Food quality was moderate and service was inconsistent.,food quality was moderate and service was inconsistent,3,Neutral,Medium,30,Solo,Wildlife Study,Monsoon,10,8,Forest,4.8,3,3,1,1,2,2,2,4,170,High,No,No,Neutral-Medium
110,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,2,Negative,Low,64,Family,Wildlife Study,Winter,1,7,Lake,3.5,4,1,1,3,3,4,2,2,90,Medium,No,No,Negative-Low
111,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,4,Positive,High,21,Couple,Photography,Winter,9,1,Forest,1.5,4,2,4,2,3,2,2,5,490,Medium,No,No,Positive-High
112,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,60,Friends,Leisure,Winter,10,0,Lake,5.0,4,4,4,3,3,3,5,3,200,Medium,Yes,No,Neutral-Medium
113,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,1,Negative,Low,19,Couple,Adventure,Monsoon,2,4,Lake,1.8,1,3,2,2,4,1,1,5,240,Low,No,No,Negative-Low
114,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,5,Positive,High,24,Family,Photography,Winter,8,7,Wildlife Sanctuary,4.2,2,1,3,1,2,3,2,1,480,Medium,No,No,Positive-High
115,"Facilities were okay, but some parts could be improved.",facilities were okay but some parts could be improved,3,Neutral,Medium,46,Group,Photography,Winter,1,2,Lake,1.8,3,2,3,2,2,5,2,5,457,Medium,Yes,Yes,Neutral-Medium
116,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,2,Negative,Low,22,Couple,Leisure,Winter,4,7,Lake,4.9,5,4,2,3,4,1,2,1,360,Low,No,No,Negative-Low
117,Eco-friendly claims were false and misleading.,ecofriendly claims were false and misleading,1,Negative,Low,47,Friends,Adventure,Winter,9,7,Coastal,2.6,3,4,3,5,3,3,5,3,51,Low,Yes,Yes,Negative-Low
118,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,57,Family,Leisure,Summer,9,0,Mountain,3.9,5,2,4,2,4,5,1,4,170,Medium,No,No,Neutral-Medium
119,Loud noise ruined the natural experience.,loud noise ruined the natural experience,2,Negative,Low,18,Group,Leisure,Spring,7,6,Lake,4.9,5,2,3,5,5,5,5,4,72,Low,Yes,Yes,Negative-Low
